flow,1,2,4,6,8,10,12,14,16,18,20,22
Vivace-Latency,0.0035,0.007,0.0105,0.0119,0.0175,0.0196,0.0238,0.0315,0.0364,0.0385,0.0392,0.0385
Vivace-Loss,0.0182,0.0294,0.0357,0.0371,0.0315,0.0336,0.0364,0.0378,0.0385,0.0392,0.0399,0.0378
Allegro,0.014,0.0182,0.0238,0.0315,0.0378,0.0427,0.0441,0.0483,0.0525,0.0511,0.0532,0.0539
BBR,0.0021,0.0224,0.0455,0.0574,0.0644,0.0609,0.0672,0.0686,0.0735,0.0763,0.0791,0.0756
